y_mean,x_mean,y_min,y_max,x_min,x_max,source_size
49.42424242424242,6873.424242424242,37.0,62.0,6861.0,6886.0,33.0
50.206896551724135,8028.672413793103,37.0,64.0,8014.0,8043.0,58.0
53.28971962616822,7162.915887850468,38.0,68.0,7147.0,7179.0,107.0
52.61363636363637,7574.227272727273,39.0,66.0,7561.0,7587.0,44.0
54.479166666666664,5530.479166666667,41.0,68.0,5517.0,5544.0,48.0
55.58064516129032,2400.9032258064517,42.0,69.0,2387.0,2415.0,62.0
56.64,7145.5,43.0,70.0,7132.0,7159.0,50.0
58.47142857142857,3357.6,44.0,73.0,3344.0,3372.0,70.0
61.48461538461538,5238.507692307692,44.0,78.0,5223.0,5254.0,130.0
54.714285714285715,11052.0,44.0,66.0,11041.0,11063.0,7.0
66.22799097065463,6781.343115124154,45.0,88.0,6760.0,6803.0,443.0
